CP001733.1,NC_015183.1,NC_018679.1,NC_017196.2,AAJM01,NC_008542.1,NC_002696.2,ATLH01,NZ_CP009976.1,ATLG01,NZ_CP009887.1,NC_002179.2,CP000312.1,NC_003910.7,NC_014230.1,AJKU01,CP002491.1,NC_012971.2,AE014075.1,NZ_CP009789.1,NC_015948.1,AFAO01,NZ_AP012544.1,NC_008054.1,NC_009004.1,NZ_CP009494.1,AZJX01,AZKB01,NC_004547.2,NC_007205.1,NC_005072.1,NC_007577.1,NC_008817.1,NC_007335.2,NC_005042.1,NC_008820.1,NC_005071.1,NC_008819.1,NC_017731.1,ASWV01,AZUG01,NC_012660.1,ANJD01,NC_014010.1,NC_008380.1,ATYQ01,NC_003911.12,NC_016810.1,NC_003197.1,NC_016856.1,NC_022569.1,NC_020528.1,NC_007712.1,NC_007795.1,CP000410.1,NC_003098.1,CP002888.1,NC_003888.3,JPOY01,NC_021058.1,NC_002754.1,ADXL01,NZ_CP006882.1,NC_009481.1,AAOK01,NC_005070.1,CP003184.1,NC_005835.1,NC_006461.1,AAZW01,NZ_CP009840.1
GQ866233,0.61389,0.34152,0.4705,0.32576,0.24172,0.093104,0.12667,0.30632,0.30648,0.30955,0.31049,0.17169,0.22302,0.41485,0.22914,0.39538,0.28889,0.41085,0.41193,0.40831,0.20556,0.2562,0.30996,0.098505,0.29639,0.1278,0.19595,0.19467,0.43698,0.16478,0.23063,0.24242,0.22918,0.25036,0.24235,0.27763,0.28305,0.24838,0.43992,0.17302,0.17425,0.24041,0.25819,0.31064,0.28009,0.2806,0.12127,0.41342,0.41204,0.41229,0.41306,0.27269,0.39868,0.26422,0.31538,0.31522,0.30532,0.14966,0.21669,0.22759,0.23637,0.20321,0.21285,0.22369,0.23046,0.18459,0.37172,0.14006,0.13783,0.39976,0.41751
JQ312117,0.29302,0.49405,0.32025,0.25322,0.11779,0.21513,0.23595,0.18224,0.17831,0.17943,0.18254,0.18406,0.08389,0.24574,0.11029,0.36707,0.1529,0.34046,0.34485,0.34017,0.27073,0.14666,0.24677,0.10024,0.22648,0.18594,0.16063,0.15654,0.37165,0.12168,0.09811,0.10692,0.10382,0.11651,0.12178,0.18198,0.19056,0.11902,0.30621,0.22082,0.22235,0.25097,0.33135,0.34725,0.41237,0.41204,0.31667,0.34068,0.33854,0.33919,0.34013,0.39329,0.37079,0.1193,0.27467,0.27422,0.28706,0.15233,0.31469,0.14674,0.13072,0.13644,0.1603,0.18574,0.19079,0.13863,0.24567,0.0616,0.061395,0.25949,0.33003
KF005319,0.33807,0.31342,0.56727,0.39129,0.33737,0.1464,0.15658,0.42845,0.42506,0.42598,0.42904,0.30768,0.23177,0.50026,0.30434,0.36249,0.36307,0.38676,0.39369,0.38777,0.20006,0.25266,0.35911,0.20586,0.29568,0.18091,0.36704,0.36557,0.40749,0.35748,0.33551,0.347,0.32669,0.34165,0.35429,0.35235,0.37139,0.33709,0.43937,0.19594,0.1985,0.26628,0.29753,0.25559,0.28611,0.28562,0.1563,0.38112,0.38023,0.38002,0.38138,0.26351,0.40921,0.34445,0.28254,0.28275,0.34558,0.1728,0.19703,0.3069,0.28446,0.28413,0.2947,0.29468,0.32588,0.26598,0.32771,0.12887,0.12654,0.51799,0.41902
KF005320,0.34203,0.32099,0.57322,0.39984,0.34603,0.14929,0.15883,0.43765,0.43434,0.43537,0.43849,0.30832,0.23733,0.50155,0.31577,0.36887,0.37104,0.39326,0.40011,0.3945,0.20814,0.25641,0.36203,0.2076,0.29988,0.18718,0.36903,0.36745,0.41466,0.35952,0.3367,0.34838,0.32725,0.34563,0.35872,0.35738,0.37703,0.34097,0.44145,0.20081,0.2037,0.27233,0.3046,0.2622,0.29166,0.29123,0.16614,0.38781,0.38692,0.3868,0.38825,0.26878,0.41867,0.34951,0.28817,0.28841,0.34541,0.17883,0.20891,0.31572,0.29177,0.29118,0.29973,0.30105,0.33214,0.27078,0.33668,0.13296,0.13055,0.51879,0.42415
KF005317,0.34199,0.32034,0.57354,0.40096,0.34595,0.15075,0.15794,0.43924,0.4361,0.43697,0.4401,0.31102,0.23814,0.50339,0.31554,0.36918,0.37254,0.39348,0.40054,0.39471,0.20833,0.25548,0.36444,0.20924,0.30178,0.18701,0.37197,0.37046,0.41552,0.36245,0.34005,0.35219,0.33129,0.34887,0.36088,0.36027,0.37985,0.3443,0.44374,0.20156,0.20434,0.27244,0.30446,0.2619,0.29159,0.29114,0.16346,0.38854,0.38762,0.3875,0.38895,0.26832,0.41915,0.34998,0.29,0.29023,0.34777,0.1784,0.20605,0.31476,0.29163,0.29225,0.30155,0.30285,0.33468,0.27266,0.33716,0.1308,0.12839,0.51994,0.42539
KF005318,0.34016,0.3159,0.56558,0.39109,0.33607,0.14462,0.16067,0.42821,0.42495,0.42587,0.42851,0.30798,0.22847,0.49656,0.30578,0.36176,0.35786,0.38514,0.39211,0.38594,0.19833,0.2571,0.35785,0.20336,0.29151,0.18195,0.36322,0.36193,0.4079,0.35409,0.33099,0.34287,0.32328,0.3391,0.35281,0.35403,0.37316,0.33422,0.43719,0.19778,0.20052,0.26662,0.29809,0.25729,0.28858,0.28825,0.15734,0.37932,0.37852,0.37822,0.37952,0.26542,0.40905,0.33885,0.28041,0.28072,0.3443,0.17383,0.19612,0.30633,0.28275,0.28941,0.29855,0.29844,0.32912,0.26845,0.32723,0.13036,0.12811,0.51752,0.41821
AP013029,0.31171,0.27063,0.35486,0.48673,0.34898,0.082677,0.10546,0.38862,0.38616,0.38645,0.39218,0.27513,0.31496,0.31189,0.22308,0.27513,0.40027,0.3023,0.30643,0.30147,0.23974,0.23567,0.35742,0.21326,0.26538,0.067845,0.27499,0.2695,0.33209,0.2994,0.28351,0.29899,0.3081,0.31145,0.29151,0.31466,0.32264,0.30216,0.34388,0.16699,0.16456,0.15468,0.19945,0.16717,0.22121,0.22083,0.12889,0.31543,0.31513,0.31478,0.3146,0.217,0.31511,0.35877,0.31742,0.31727,0.31997,0.19486,0.19477,0.30441,0.29157,0.22138,0.23485,0.20665,0.25567,0.24059,0.39999,0.17997,0.17795,0.34887,0.32415
JQ062992,0.21675,0.16262,0.29239,0.39617,0.58358,0.10772,0.11937,0.37005,0.36783,0.36697,0.37211,0.21372,0.44211,0.31818,0.29307,0.2062,0.4576,0.23188,0.23851,0.2305,0.1767,0.15327,0.16664,0.15321,0.35831,0.097909,0.25472,0.26106,0.22784,0.37433,0.39605,0.39208,0.38525,0.40523,0.41868,0.27551,0.27182,0.40774,0.30467,0.15954,0.15829,0.15761,0.12413,0.12605,0.14266,0.14171,0.089496,0.2216,0.22068,0.2206,0.22178,0.15113,0.2272,0.51403,0.34395,0.34336,0.28815,0.17108,0.074818,0.25378,0.23893,0.22184,0.24142,0.20782,0.23606,0.24967,0.37096,0.11405,0.11289,0.28109,0.23749
EF602154,0.17794,0.38918,0.14395,0.13848,0.081106,0.61404,0.42997,0.075086,0.074292,0.073779,0.074364,0.060521,0.11727,0.13434,0.11507,0.34551,0.063605,0.23196,0.22285,0.23201,0.25759,-0.011483,0.19332,0.27628,0.08437,0.46338,0.13324,0.13117,0.21247,0.11398,0.096086,0.094922,0.082819,0.093276,0.12372,0.16558,0.15655,0.093384,0.077778,0.43973,0.43956,0.43178,0.43307,0.19881,0.47168,0.47097,0.41359,0.24468,0.24314,0.24289,0.24361,0.49693,0.28386,0.081928,0.093157,0.093093,0.080227,0.43461,0.34143,0.075886,0.076893,0.29999,0.21913,0.22584,0.18837,0.21654,0.097608,0.22354,0.22248,0.10411,0.14444
KF301602,0.18533,0.25571,0.19358,0.22514,0.27507,0.19836,0.24908,0.34249,0.34068,0.33815,0.34219,0.27436,0.27107,0.27139,0.34196,0.30941,0.25545,0.25481,0.25427,0.25522,0.2247,0.11219,0.18637,0.14226,0.33984,0.25202,0.29573,0.29842,0.19908,0.29503,0.27605,0.27119,0.26578,0.23478,0.28662,0.23508,0.22395,0.23531,0.19186,0.24871,0.24786,0.23369,0.20385,0.19527,0.28869,0.28864,0.26698,0.25213,0.25133,0.25153,0.25337,0.29247,0.29593,0.29379,0.22883,0.2289,0.27571,0.2621,0.24807,0.21757,0.20568,0.2592,0.2238,0.22382,0.20979,0.23187,0.21503,0.16456,0.1644,0.17489,0.20476
