CP001733.1,NC_015183.1,NC_018679.1,NC_017196.2,AAJM01,NC_008542.1,NC_002696.2,ATLH01,NZ_CP009976.1,ATLG01,NZ_CP009887.1,NC_002179.2,CP000312.1,NC_003910.7,NC_014230.1,AJKU01,CP002491.1,NC_012971.2,AE014075.1,NZ_CP009789.1,NC_015948.1,AFAO01,NZ_AP012544.1,NC_008054.1,NC_009004.1,NZ_CP009494.1,AZJX01,AZKB01,NC_004547.2,NC_007205.1,NC_005072.1,NC_007577.1,NC_008817.1,NC_007335.2,NC_005042.1,NC_008820.1,NC_005071.1,NC_008819.1,NC_017731.1,ASWV01,AZUG01,NC_012660.1,ANJD01,NC_014010.1,NC_008380.1,ATYQ01,NC_003911.12,NC_016810.1,NC_003197.1,NC_016856.1,NC_022569.1,NC_020528.1,NC_007712.1,NC_007795.1,CP000410.1,NC_003098.1,CP002888.1,NC_003888.3,JPOY01,NC_021058.1,NC_002754.1,ADXL01,NZ_CP006882.1,NC_009481.1,AAOK01,NC_005070.1,CP003184.1,NC_005835.1,NC_006461.1,AAZW01,NZ_CP009840.1
GQ866233,0.178465276353276,0.177653794871795,0.176903540229885,0.177761202279202,0.178058125356125,0.178152256410256,0.17814352,0.177536834285714,0.178591083333333,0.177861031339031,0.177567805714286,0.178419754985755,0.178091943019943,0.177840803418803,0.177908205714286,0.177871259259259,0.177908381766382,0.177331434285714,0.17773633048433,0.177187005714286,0.178338691428571,0.178103794871795,0.177781287749288,0.177777982905983,0.177708638176638,0.207496202702703,0.17793954985755,0.178001458689459,0.177710404558405,0.177179488505747,0.177704312138728,0.178069378917379,0.178095748571429,0.178082585507246,0.177931116809117,0.177869148571429,0.177859065527066,0.178102985673352,0.177862427350427,0.178225423631124,0.177542080691643,0.177972398860399,0.177742541310541,0.177733538461538,0.177913225071225,0.177922142450142,0.178163538461538,0.177936729344729,0.17605474566474,0.177919236467236,0.177459094017094,0.177689606837607,0.177343623931624,0.177288744985673,0.17779086039886,0.178011458689459,0.177739948717949,0.178399045714286,0.177337455587393,0.178143367521368,0.177573054131054,0.177206413793103,0.177703089337176,0.175520487951807,0.178055931623932,0.177828540229885,0.177637783475783,0.177648723646724,0.177678068376068,0.177943623931624,0.178199239316239
JQ312117,0.161758149287749,0.162569630769231,0.161213564367816,0.162117237606838,0.162336334472935,0.161983362962963,0.161864086857143,0.162541829714286,0.163136107471264,0.162318690598291,0.162178258285714,0.162499365811966,0.162453422792023,0.162105528205128,0.162353058285714,0.161897209116809,0.162249345868946,0.161665572571429,0.161902052421653,0.161752744,0.162540592571429,0.16230281025641,0.162159431339031,0.162187294586895,0.162066525356125,0.159026790540541,0.162150428490029,0.162208405698006,0.161689032478633,0.162192391954023,0.162737076300578,0.162249573789174,0.162574466857143,0.163672511304348,0.162335422792023,0.162446058285714,0.161999630769231,0.162909923782235,0.162220485470086,0.162152248991354,0.160689194236311,0.162066639316239,0.161885243304843,0.161916041025641,0.161500314529915,0.161815100854701,0.162045927065527,0.161947465527066,0.160240058959538,0.162093078062678,0.161804417094017,0.161709545299145,0.161525528205128,0.162665026934097,0.162086098005698,0.162094701994302,0.162048434188034,0.162366638285714,0.16132965730659,0.16242081025641,0.162247095156695,0.162097903448276,0.162517839769452,0.16262398313253,0.162346041025641,0.162281897701149,0.162041596581197,0.162306625071225,0.162319553846154,0.162090741880342,0.162067095156695
KF005319,0.209927264957265,0.210010740740741,0.203943132183908,0.209762307692308,0.210058575498575,0.210330626780627,0.210229714285714,0.209545971428571,0.210719204022988,0.209700997150997,0.209708657142857,0.210529874643875,0.210213874643875,0.209995783475783,0.210710751428571,0.210120427350427,0.209963846153846,0.209683114285714,0.209941709401709,0.2095454,0.210696917142857,0.210403415954416,0.210103048433048,0.210106125356125,0.210076467236467,0.262076317567568,0.209891566951567,0.209962022792023,0.209796011396011,0.209701149425287,0.209662514450867,0.210167264957265,0.209941171428571,0.209360782608696,0.20995641025641,0.209616742857143,0.209813561253561,0.209803495702006,0.210049914529915,0.210592161383285,0.209854438040346,0.210130826210826,0.209895384615385,0.20991282051282,0.210150626780627,0.210019401709402,0.210468564102564,0.21009207977208,0.208561502890174,0.209675156695157,0.209815527065527,0.209985669515669,0.209877464387464,0.209783467048711,0.209899173789174,0.210315925925926,0.210076780626781,0.21073564,0.209885501432665,0.210459837606838,0.209923703703704,0.208852988505747,0.208951757925072,0.203590662650602,0.209996695156695,0.208732902298851,0.210151367521367,0.209752193732194,0.209761823361823,0.209999173789174,0.210217492877493
KF005320,0.214880156695157,0.214966196581197,0.208953548850575,0.214705142450142,0.215024259259259,0.215289672364672,0.215181042857143,0.214510814285714,0.215719091954023,0.214649501424501,0.214667328571429,0.21550488034188,0.21516650997151,0.214944316239316,0.215652491428571,0.21507386039886,0.214910071225071,0.214628128571429,0.214901837606838,0.214494357142857,0.215667651428571,0.215356680911681,0.215052236467236,0.21505801994302,0.215015541310541,0.266367628378378,0.214847621082621,0.214916595441595,0.214749729344729,0.214658146551724,0.214607066473988,0.215112806267806,0.214913442857143,0.214342507246377,0.214906282051282,0.214586014285714,0.214761780626781,0.214774541547278,0.214997905982906,0.215559985590778,0.214833501440922,0.215077022792023,0.214842378917379,0.214863205128205,0.215103974358974,0.214971239316239,0.215421632478632,0.21503235042735,0.213463482658959,0.214630156695157,0.214751068376068,0.214927022792023,0.214819074074074,0.214730702005731,0.214858504273504,0.21524915954416,0.215029045584046,0.215676557142857,0.214827779369628,0.215394333333333,0.214876367521368,0.213814784482759,0.213915086455331,0.208638629518072,0.214938105413105,0.213704583333333,0.215097621082621,0.214712435897436,0.214719729344729,0.214968447293447,0.215177222222222
KF005317,0.214301145299145,0.214384108262108,0.208364201149425,0.21412445014245,0.21444501994302,0.214711230769231,0.214602691428572,0.21391912,0.215123735632184,0.214070148148148,0.214080977142857,0.214926196581197,0.214589150997151,0.214365760683761,0.215082768571429,0.21449539031339,0.2143269002849,0.214048205714286,0.21432388034188,0.213913491428572,0.215090534285714,0.214779834757835,0.214478780626781,0.214477954415954,0.214442512820513,0.265993689189189,0.214269692307692,0.214338894586895,0.214170575498575,0.214075724137931,0.214016537572254,0.214536615384615,0.214334891428572,0.213763513043478,0.214329378917379,0.214009377142857,0.214182598290598,0.214197656160458,0.214424336182336,0.214987008645533,0.214251677233429,0.214501002849003,0.21426766951567,0.21428652991453,0.214528296296296,0.214392797720798,0.214843888888889,0.214454678062678,0.212874196531792,0.214053823361823,0.214172256410256,0.214351829059829,0.21423841025641,0.21415123782235,0.214284364672365,0.214672769230769,0.214453538461538,0.215100597142857,0.214258343839542,0.214822173789174,0.214293566951567,0.213234344827586,0.213342368876081,0.208042385542169,0.214367014245014,0.213130005747126,0.214525475783476,0.214131145299145,0.21414049002849,0.214389236467236,0.214598780626781
KF005318,0.210765199430199,0.210852492877493,0.204820531609195,0.210597022792023,0.210912635327635,0.211174116809117,0.211066157142857,0.210405442857143,0.211571364942529,0.210555769230769,0.210554185714286,0.21136239031339,0.21106556980057,0.210837507122507,0.211550005714286,0.210980128205128,0.21081707977208,0.210547385714286,0.2107800997151,0.210389642857143,0.21153662,0.211239273504273,0.210943005698006,0.210952236467236,0.210922094017094,0.262522324324324,0.210748076923077,0.210819843304843,0.210639786324786,0.210541307471264,0.210452066473988,0.211004373219373,0.210784985714286,0.21017963768116,0.210812293447293,0.210444442857143,0.210646652421652,0.210656776504298,0.210905541310541,0.211414567723343,0.210654423631124,0.210960185185185,0.210720698005698,0.210741353276353,0.210989188034188,0.210874202279202,0.211306732193732,0.210926168091168,0.20942911849711,0.210532578347578,0.210676709401709,0.21082141025641,0.210717535612536,0.210667893982808,0.210725142450142,0.211155085470085,0.210924373219373,0.21157256,0.210731103151862,0.211306891737892,0.210766538461538,0.209689181034483,0.209770360230548,0.204438960843374,0.21082613960114,0.209590646551724,0.210989415954416,0.210598732193732,0.210607564102564,0.210841809116809,0.211047222222222
AP013029,0.201116372079772,0.201368052991453,0.199769300574713,0.201820446153846,0.201031357834758,0.201590118518518,0.201677113142857,0.201112447428571,0.201958148275862,0.200820275213675,0.200566476,0.201846758404558,0.201252554415954,0.201125289458689,0.201465158857143,0.20094358005698,0.201018223931624,0.201078104571429,0.201150702564103,0.200883847428571,0.201671296,0.201505033048433,0.201039505982906,0.201113523076923,0.201117055840456,0.248630637162162,0.201171756695157,0.201200047293447,0.200582411965812,0.200806714367816,0.200220452601156,0.20101867977208,0.200870361714286,0.200059323478261,0.200932383475783,0.200822561714286,0.201058166951567,0.200748901432665,0.201381414814815,0.201941027665706,0.198797281268011,0.201020873504273,0.20072093048433,0.200751072934473,0.201041984615385,0.201295944729345,0.201285973219373,0.201070332193732,0.200393284971098,0.201083921937322,0.200980617094017,0.201142468945869,0.201161870655271,0.200889560458453,0.200838280911681,0.201280674074074,0.201131870655271,0.201878584571429,0.200729875644699,0.201814033333333,0.201207882051282,0.200024013218391,0.20002658962536,0.196362489759036,0.201112753846154,0.20058570862069,0.201107882051282,0.2009916997151,0.200978964672365,0.201320446153846,0.201053352136752
JQ062992,0.135178967236467,0.135352821937322,0.134226343390805,0.13479702991453,0.135586118233618,0.135491277777778,0.135229392857143,0.134509078571429,0.13566613362069,0.1346074002849,0.134609935714286,0.135543810541311,0.134631103988604,0.134854095441595,0.135352358571429,0.135137856125356,0.134622813390313,0.134873278571429,0.135058596866097,0.134753221428571,0.135319778571429,0.135573277492877,0.135180277777778,0.135242813390313,0.134923468660969,0.19943686554054,0.135062784900285,0.135072756410256,0.135069594017094,0.13382338362069,0.13393164017341,0.134839138176638,0.134368107142857,0.132762195652174,0.134826915954416,0.134723078571429,0.135117799145299,0.133836783667622,0.135167229344729,0.134495727665706,0.134760569164265,0.135186602564103,0.135047770655271,0.134807542735043,0.135189081196581,0.13535748005698,0.135436611111111,0.135229935897436,0.134182218208093,0.134782186609687,0.134963326210826,0.135370027065527,0.13509834045584,0.133673746418338,0.134937229344729,0.135201616809117,0.135162300569801,0.135567447142857,0.135178388252149,0.135186745014245,0.134962186609687,0.134476372126437,0.133933047550432,0.128984179216868,0.135152158119658,0.134041659482759,0.134861303418803,0.134840135327635,0.134849252136752,0.135421289173789,0.135225918803419
EF602154,0.221663563931624,0.221390316068376,0.222435893505747,0.221746256239316,0.221881743418803,0.221976583874644,0.220921374114286,0.222305685542857,0.223495491206897,0.221956250541311,0.222319231257143,0.221999096980057,0.221935293276353,0.221675415783476,0.222273088971429,0.221468977037037,0.221869304672365,0.221896431257143,0.221787749116809,0.221982262685714,0.221950534114286,0.221886301823362,0.221850794700855,0.221784632307692,0.221974187435897,0.109309999594595,0.221629717777778,0.22168307960114,0.221403763361823,0.223244734310345,0.224169878439306,0.221714709230769,0.222114236971429,0.224688388231884,0.221893763361823,0.2222973084,0.22145533031339,0.222705154555874,0.22183644997151,0.21960080962536,0.222455596368876,0.221275586723647,0.221762139430199,0.221782911509972,0.220986384444444,0.221342566780627,0.221037751965812,0.221100487008547,0.222252285953757,0.221685444273504,0.221588891566952,0.220858236296296,0.221481883019943,0.22294229782235,0.22188705965812,0.221635444273504,0.221904304672365,0.220721459828571,0.222142701833811,0.221754677891738,0.221842746267806,0.222349140632184,0.223423160057637,0.229505418493976,0.221646811794872,0.222762531436782,0.221648749116809,0.221898965641026,0.221908572478632,0.221703361652422,0.221976206980057
KF301602,0.18526466951567,0.185174498575499,0.184704537356322,0.185408011396011,0.185273245014245,0.185249826210826,0.185518968571429,0.184992597142857,0.186710459770115,0.185168572649573,0.185280617142857,0.185541886039886,0.185091792022792,0.185149541310541,0.185422768571429,0.185278031339031,0.185034698005698,0.184996768571429,0.185235353276353,0.185152682857143,0.185424882857143,0.185492555555556,0.185255239316239,0.185393216524217,0.185409182336182,0.230008466216216,0.185290225071225,0.185365923076923,0.185034327635328,0.184697439655172,0.183565286127168,0.185037831908832,0.18482194,0.182637504347826,0.185244156695157,0.184050968571429,0.185259085470086,0.183877389684814,0.185650621082621,0.18439253314121,0.185257720461095,0.185432698005698,0.185095837606838,0.185237746438747,0.185134641025641,0.185010339031339,0.185080082621083,0.18541405982906,0.185370690751445,0.184679227920228,0.185184811965812,0.185103985754986,0.185205495726496,0.185244467048711,0.185078715099715,0.185075809116809,0.185575849002849,0.185404725714286,0.185169853868195,0.185194925925926,0.185314327635328,0.184755658045977,0.183004233429395,0.173054575301205,0.185234982905983,0.182642899425287,0.18525786039886,0.184927233618234,0.184960623931624,0.185355695156695,0.185451703703704
