CP001733.1,NC_015183.1,NC_018679.1,NC_017196.2,AAJM01,NC_008542.1,NC_002696.2,ATLH01,NZ_CP009976.1,ATLG01,NZ_CP009887.1,NC_002179.2,CP000312.1,NC_003910.7,NC_014230.1,AJKU01,CP002491.1,NC_012971.2,AE014075.1,NZ_CP009789.1,NC_015948.1,AFAO01,NZ_AP012544.1,NC_008054.1,NC_009004.1,NZ_CP009494.1,AZJX01,AZKB01,NC_004547.2,NC_007205.1,NC_005072.1,NC_007577.1,NC_008817.1,NC_007335.2,NC_005042.1,NC_008820.1,NC_005071.1,NC_008819.1,NC_017731.1,ASWV01,AZUG01,NC_012660.1,ANJD01,NC_014010.1,NC_008380.1,ATYQ01,NC_003911.12,NC_016810.1,NC_003197.1,NC_016856.1,NC_022569.1,NC_020528.1,NC_007712.1,NC_007795.1,CP000410.1,NC_003098.1,CP002888.1,NC_003888.3,JPOY01,NC_021058.1,NC_002754.1,ADXL01,NZ_CP006882.1,NC_009481.1,AAOK01,NC_005070.1,CP003184.1,NC_005835.1,NC_006461.1,AAZW01,NZ_CP009840.1
GQ866233,-1.36446,-1.42464,-1.37164,-1.37971,-1.38593,-1.47397,-1.4684,-1.39017,-1.39016,-1.38935,-1.38959,-1.39871,-1.4245,-1.37433,-1.39828,-1.40899,-1.37947,-1.38521,-1.38342,-1.3843,-1.45432,-1.39075,-1.38772,-1.40881,-1.38501,-1.48796,-1.37731,-1.37814,-1.38388,-1.39834,-1.3958,-1.39676,-1.39559,-1.39208,-1.39104,-1.39874,-1.40075,-1.39096,-1.36875,-1.47446,-1.47415,-1.43421,-1.42766,-1.38333,-1.44326,-1.44477,-1.45566,-1.38492,-1.38574,-1.38539,-1.38532,-1.4507,-1.39242,-1.38947,-1.39245,-1.39242,-1.3917,-1.51059,-1.42997,-1.40655,-1.41127,-1.44435,-1.42628,-1.42755,-1.42122,-1.42795,-1.38737,-1.45363,-1.45319,-1.38027,-1.38111
JQ312117,-1.39726,-1.36834,-1.40183,-1.39628,-1.44074,-1.41175,-1.41944,-1.45208,-1.45348,-1.45366,-1.45275,-1.42072,-1.46629,-1.43746,-1.45251,-1.39091,-1.42343,-1.38646,-1.3849,-1.38572,-1.40344,-1.43008,-1.39423,-1.41583,-1.43016,-1.42865,-1.40989,-1.40942,-1.3824,-1.4321,-1.43372,-1.43578,-1.43421,-1.43279,-1.42927,-1.40858,-1.40818,-1.43148,-1.4129,-1.42565,-1.4261,-1.39687,-1.3874,-1.39133,-1.38016,-1.38015,-1.40258,-1.38424,-1.38462,-1.38472,-1.38488,-1.38505,-1.38932,-1.4373,-1.42237,-1.4223,-1.42318,-1.46679,-1.38324,-1.44464,-1.45334,-1.42108,-1.40363,-1.40409,-1.40077,-1.40663,-1.43563,-1.4521,-1.45215,-1.41125,-1.40286
KF005319,-1.40859,-1.45355,-1.37855,-1.40505,-1.40024,-1.4941,-1.47389,-1.39545,-1.39598,-1.39556,-1.39496,-1.39644,-1.42687,-1.38812,-1.39829,-1.433,-1.39752,-1.41466,-1.41342,-1.4146,-1.45785,-1.41134,-1.41396,-1.41306,-1.40689,-1.49708,-1.40402,-1.40393,-1.4104,-1.40324,-1.40538,-1.40548,-1.40649,-1.40163,-1.39803,-1.40998,-1.41088,-1.40122,-1.39403,-1.48656,-1.48784,-1.45609,-1.44741,-1.41577,-1.46942,-1.46763,-1.47033,-1.4158,-1.41621,-1.41613,-1.41571,-1.47144,-1.42329,-1.40413,-1.39827,-1.39825,-1.39493,-1.51637,-1.44887,-1.40424,-1.41056,-1.44865,-1.43626,-1.44061,-1.43583,-1.43869,-1.40253,-1.45426,-1.45456,-1.38539,-1.40985
KF005320,-1.40854,-1.45305,-1.37871,-1.40502,-1.40016,-1.4939,-1.474,-1.39547,-1.39585,-1.39561,-1.39496,-1.39689,-1.42687,-1.38791,-1.39819,-1.43247,-1.39725,-1.41445,-1.41311,-1.41426,-1.4575,-1.41156,-1.41405,-1.4132,-1.40688,-1.49711,-1.40358,-1.4039,-1.41027,-1.40329,-1.40566,-1.40575,-1.40656,-1.40176,-1.39783,-1.40999,-1.41054,-1.40139,-1.39354,-1.48645,-1.48788,-1.456,-1.44713,-1.41553,-1.46922,-1.46717,-1.47065,-1.41565,-1.41599,-1.41595,-1.41549,-1.47127,-1.42287,-1.40426,-1.39844,-1.39842,-1.39503,-1.51614,-1.44868,-1.40424,-1.41061,-1.4488,-1.43614,-1.44072,-1.43575,-1.43829,-1.40257,-1.45417,-1.45446,-1.38557,-1.40966
KF005317,-1.40835,-1.45318,-1.37854,-1.40475,-1.39972,-1.49402,-1.474,-1.39506,-1.39546,-1.39516,-1.39452,-1.39659,-1.42648,-1.38767,-1.39787,-1.43247,-1.39703,-1.41439,-1.413,-1.41421,-1.45756,-1.41124,-1.41388,-1.41304,-1.40656,-1.49723,-1.40336,-1.40358,-1.41019,-1.40294,-1.40529,-1.40531,-1.40614,-1.40145,-1.39755,-1.40989,-1.41057,-1.40103,-1.39332,-1.48652,-1.48787,-1.45599,-1.44722,-1.41547,-1.4693,-1.46725,-1.47073,-1.41548,-1.41584,-1.41578,-1.41534,-1.47147,-1.42283,-1.40396,-1.39815,-1.39813,-1.39472,-1.51618,-1.44882,-1.40391,-1.41034,-1.44884,-1.43619,-1.44084,-1.43576,-1.43836,-1.40224,-1.45413,-1.45445,-1.38535,-1.40955
KF005318,-1.40876,-1.45378,-1.37879,-1.40522,-1.40018,-1.49431,-1.4741,-1.39499,-1.39585,-1.39535,-1.39464,-1.39607,-1.4267,-1.38865,-1.39807,-1.4333,-1.39778,-1.41513,-1.41376,-1.41496,-1.45768,-1.41139,-1.41417,-1.41298,-1.4073,-1.49728,-1.40435,-1.40399,-1.41091,-1.40307,-1.40526,-1.40561,-1.40643,-1.40163,-1.39801,-1.41025,-1.41106,-1.40116,-1.3945,-1.48669,-1.48791,-1.45668,-1.44795,-1.4158,-1.46963,-1.46788,-1.47042,-1.41634,-1.41678,-1.41668,-1.41623,-1.4715,-1.4235,-1.4044,-1.39801,-1.39799,-1.39483,-1.51627,-1.4492,-1.40425,-1.41046,-1.44888,-1.43665,-1.44081,-1.43591,-1.43898,-1.40237,-1.45427,-1.45478,-1.38571,-1.41016
AP013029,-1.41972,-1.459,-1.40174,-1.40196,-1.39717,-1.49675,-1.47786,-1.39778,-1.39842,-1.39843,-1.39783,-1.39412,-1.41777,-1.40557,-1.40353,-1.44438,-1.40394,-1.42777,-1.42506,-1.42693,-1.45726,-1.41737,-1.42401,-1.42011,-1.40694,-1.4996,-1.4101,-1.4086,-1.42296,-1.40129,-1.40168,-1.40278,-1.40148,-1.39865,-1.39728,-1.41518,-1.4162,-1.39827,-1.40378,-1.48864,-1.48901,-1.47134,-1.46217,-1.42452,-1.47576,-1.47468,-1.47377,-1.42793,-1.42834,-1.4283,-1.42797,-1.4743,-1.43269,-1.40555,-1.39557,-1.39564,-1.39667,-1.51101,-1.45611,-1.39599,-1.40094,-1.45165,-1.43804,-1.44269,-1.43698,-1.44,-1.39935,-1.45272,-1.4531,-1.4063,-1.42178
JQ062992,-1.38006,-1.45543,-1.3714,-1.36229,-1.31334,-1.48897,-1.47918,-1.34673,-1.34778,-1.34731,-1.34703,-1.37083,-1.36568,-1.3556,-1.35675,-1.43382,-1.34718,-1.40255,-1.39959,-1.40277,-1.46441,-1.38407,-1.40014,-1.4022,-1.35513,-1.49957,-1.36676,-1.36664,-1.39984,-1.35805,-1.35388,-1.35455,-1.35454,-1.35304,-1.35933,-1.40048,-1.40548,-1.35293,-1.35874,-1.48309,-1.48309,-1.46684,-1.45804,-1.40119,-1.47345,-1.47174,-1.47695,-1.40521,-1.40588,-1.40599,-1.40538,-1.47781,-1.41454,-1.34538,-1.36319,-1.36339,-1.36798,-1.50519,-1.45983,-1.36131,-1.36541,-1.45351,-1.4374,-1.44296,-1.43182,-1.4349,-1.35085,-1.44813,-1.44773,-1.38226,-1.3911
EF602154,-1.40995,-1.33165,-1.42258,-1.41857,-1.48287,-1.29303,-1.33207,-1.4814,-1.4853,-1.48292,-1.48386,-1.43165,-1.4576,-1.47511,-1.4643,-1.34248,-1.45436,-1.38155,-1.38139,-1.38149,-1.34679,-1.44413,-1.40375,-1.42013,-1.45606,-1.32081,-1.42934,-1.43106,-1.37257,-1.4287,-1.43808,-1.43969,-1.43855,-1.4461,-1.44203,-1.40779,-1.4066,-1.44488,-1.44454,-1.33541,-1.33495,-1.33333,-1.33389,-1.40075,-1.31912,-1.31996,-1.34431,-1.36477,-1.36458,-1.36466,-1.36466,-1.31599,-1.35631,-1.46018,-1.44343,-1.44326,-1.44821,-1.35313,-1.34433,-1.45732,-1.47126,-1.36369,-1.37164,-1.36573,-1.37468,-1.37312,-1.46187,-1.43472,-1.43623,-1.43854,-1.41896
KF301602,-1.39048,-1.43194,-1.38052,-1.36661,-1.35824,-1.47709,-1.4715,-1.36896,-1.36965,-1.36858,-1.36879,-1.37396,-1.39744,-1.3753,-1.37918,-1.43031,-1.36164,-1.40233,-1.39958,-1.40212,-1.45421,-1.40015,-1.38981,-1.40232,-1.36063,-1.49123,-1.36158,-1.3613,-1.40055,-1.37653,-1.36842,-1.36816,-1.36823,-1.36326,-1.36322,-1.38717,-1.39349,-1.36311,-1.3756,-1.47665,-1.47752,-1.44887,-1.43768,-1.39061,-1.44471,-1.44332,-1.45946,-1.40732,-1.40833,-1.40842,-1.40741,-1.45288,-1.41514,-1.36715,-1.36513,-1.36517,-1.36476,-1.50489,-1.43916,-1.38213,-1.38637,-1.44487,-1.42559,-1.42681,-1.41688,-1.42309,-1.37217,-1.45058,-1.45063,-1.37697,-1.39688
