CP001733.1,NC_015183.1,NC_018679.1,NC_017196.2,AAJM01,NC_008542.1,NC_002696.2,ATLH01,NZ_CP009976.1,ATLG01,NZ_CP009887.1,NC_002179.2,CP000312.1,NC_003910.7,NC_014230.1,AJKU01,CP002491.1,NC_012971.2,AE014075.1,NZ_CP009789.1,NC_015948.1,AFAO01,NZ_AP012544.1,NC_008054.1,NC_009004.1,NZ_CP009494.1,AZJX01,AZKB01,NC_004547.2,NC_007205.1,NC_005072.1,NC_007577.1,NC_008817.1,NC_007335.2,NC_005042.1,NC_008820.1,NC_005071.1,NC_008819.1,NC_017731.1,ASWV01,AZUG01,NC_012660.1,ANJD01,NC_014010.1,NC_008380.1,ATYQ01,NC_003911.12,NC_016810.1,NC_003197.1,NC_016856.1,NC_022569.1,NC_020528.1,NC_007712.1,NC_007795.1,CP000410.1,NC_003098.1,CP002888.1,NC_003888.3,JPOY01,NC_021058.1,NC_002754.1,ADXL01,NZ_CP006882.1,NC_009481.1,AAOK01,NC_005070.1,CP003184.1,NC_005835.1,NC_006461.1,AAZW01,NZ_CP009840.1
GQ866233,0,0.28483,0.26972,0.24713,0.14291,0.10987,0.14554,0.25171,0.12290375,0.21209,0.24629,0.015978,0.13104,0.21919,0.18672,0.2085,0.19547,0.287655,0.25586,0.31293,0.111385,0.12688,0.24008,0.24124,0.26558,0.156528794117647,0.18453,0.1628,0.26496,0.2457125,0.192603333333333,0.13896,0.1539,0.171831428571429,0.18749,0.193555,0.21278,0.161123333333333,0.2116,0.159418,0.206842,0.173,0.25368,0.25684,0.19377,0.19064,0.10591,0.18552,0.287728333333333,0.19166,0.35317,0.27226,0.3937,0.255846666666667,0.23672,0.15929,0.25459,0.100823,0.25018,0.11299,0.31317,0.24337,0.195668,0.2184255,0.14368,0.189245,0.29045,0.28661,0.27631,0.1831,0.093379
JQ312117,0.28483,0,0.239905,0.15879,0.081887,0.20578,0.204755,0.08615,0.07264375,0.08808,0.149775,0.024663,0.040789,0.1629,0.119185,0.23602,0.11242,0.239495,0.23432,0.22424,0.0863665,0.093654,0.14398,0.1342,0.17659,0.164343016666667,0.14714,0.12679,0.30909,0.154747,0.125818666666667,0.11234,0.0804385,0.0849891428571429,0.082207,0.10291,0.20007,0.0687923333333333,0.12255,0.159022,0.260558,0.17655,0.24022,0.22941,0.37533,0.26484,0.18382,0.21838,0.269813333333333,0.16727,0.26859,0.30189,0.36648,0.097282,0.16972,0.1667,0.18294,0.1168085,0.25263,0.052236,0.11321,0.1629675,0.13365,0.1535389,0.07848,0.14696,0.18534,0.092315,0.087777,0.16809,0.17639
KF005319,0.26706,0.23776,0.74483,0.32496,0.22097,0.12548,0.185565,0.30522,0.15531175,0.34648,0.27675,0.055544,0.16646,0.24301,0.1013835,0.19926,0.25422,0.28122,0.26199,0.30532,0.1038045,0.099931,0.20536,0.20428,0.21469,0.172373700980392,0.27959,0.25486,0.31313,0.2438825,0.234716666666667,0.18282,0.23606,0.246008571428571,0.25683,0.292835,0.30697,0.24337,0.22401,0.17521,0.226408,0.19561,0.27825,0.27213,0.18866,0.23472,0.077064,0.20921,0.298208333333333,0.35555,0.30628,0.24656,0.28454,0.2457,0.27692,0.13064,0.21458,0.097028,0.23383,0.080127,0.26831,0.3176725,0.289054,0.3179715,0.24269,0.32812,0.1884,0.32851,0.32513,0.24182,0.16519
KF005320,0.27159,0.24139,0.7446725,0.33302,0.22101,0.12785,0.19058,0.30787,0.15607025,0.35255,0.28048,0.052312,0.17108,0.24907,0.1080765,0.2036,0.26109,0.28734,0.26398,0.31075,0.1054235,0.10433,0.21119,0.20916,0.22407,0.177804490196078,0.28301,0.2588,0.31737,0.2483725,0.24008,0.18993,0.23741,0.24948,0.26242,0.29471,0.31314,0.24607,0.23026,0.179042,0.22946,0.20249,0.28485,0.27754,0.19303,0.23962,0.081532,0.21817,0.306026666666667,0.35934,0.3169,0.25514,0.29303,0.25117,0.27919,0.14207,0.21933,0.103865,0.239876666666667,0.091114,0.27292,0.321745,0.293198,0.321325,0.25125,0.3313325,0.19526,0.33046,0.3279,0.2406,0.16732
KF005317,0.27154,0.24242,0.745125,0.33356,0.22104,0.1276,0.19015,0.309775,0.1570455,0.35262,0.28145,0.052147,0.17045,0.24886,0.1061365,0.20336,0.2625,0.287185,0.26356,0.31076,0.1047775,0.10352,0.20919,0.20948,0.22192,0.177079294117647,0.28258,0.25829,0.31737,0.2482225,0.240253333333333,0.18889,0.237015,0.248975714285714,0.26163,0.29398,0.31315,0.24542,0.2283,0.17815,0.229182,0.20139,0.28329,0.27667,0.19181,0.23937,0.081037,0.21765,0.306128333333333,0.35835,0.31678,0.25375,0.29356,0.25082,0.27743,0.1411,0.21805,0.1030165,0.23836,0.088659,0.2742,0.3214225,0.292288,0.3210585,0.24842,0.3305,0.1928,0.33121,0.32793,0.24062,0.16707
KF005318,0.26869,0.23805,0.7424325,0.32772,0.21694,0.12516,0.18706,0.302685,0.15511,0.3422,0.276655,0.059076,0.16326,0.24331,0.1023865,0.19325,0.25048,0.277845,0.26346,0.30545,0.104729,0.10229,0.20628,0.20304,0.21362,0.173499857843137,0.2747,0.24951,0.31271,0.244725,0.238476666666667,0.18474,0.236265,0.2479,0.25216,0.29586,0.3103,0.242686666666667,0.21943,0.177284,0.230038,0.20025,0.28431,0.27706,0.19007,0.23043,0.078612,0.21219,0.297466666666667,0.35034,0.29975,0.24896,0.28542,0.241393333333333,0.28275,0.13184,0.21282,0.0984395,0.23404,0.078556,0.26822,0.31886,0.291392,0.318677,0.2473,0.3274325,0.18999,0.32712,0.32402,0.2418,0.1697
AP013029,0.24713,0.15879,0.329815,0,0.27697,0.080845,0.1259935,0.22481,0.13938525,0.35106,0.320355,-0.0092356,0.19933,0.244,0.1630855,0.30778,0.28158,0.23082,0.23508,0.264815,0.1270115,0.11071,0.27411,0.24813,0.24689,0.166870795588235,0.22769,0.21776,0.43455,0.23956,0.26045,0.28142,0.267175,0.259787142857143,0.31171,0.27554,0.26756,0.259203333333333,0.1541,0.153088,0.371264,0.28065,0.38593,0.37535,0.27324,0.1841,0.1876,0.26329,0.250483333333333,0.25852,0.29478,0.23797,0.23116,0.24284,0.34474,0.18946,0.24169,0.090736,0.261416666666667,0.0022509,0.21501,0.307655,0.28595,0.2823315,0.2484,0.2587875,0.25011,0.29089,0.29536,0.1755,0.26925
JQ062992,0.14291,0.081887,0.21999,0.27697,0,0.033289,0.13022,0.256275,0.09472825,0.34353,0.238625,0.01485,0.33521,0.25694,0.108701,0.15734,0.33812,0.19254,0.18516,0.21355,0.1144025,0.0045071,0.14245,0.1205,0.23259,0.0885983892156863,0.18369,0.18019,0.1813,0.2550475,0.208396666666667,0.26219,0.280945,0.255395714285714,0.26648,0.218825,0.16438,0.293896666666667,0.14703,0.184142,0.165762,0.14023,0.18896,0.27328,0.13936,0.080252,0.052477,0.12502,0.193946666666667,0.28218,0.2186,0.075848,0.17121,0.312863333333333,0.22776,0.13496,0.14876,0.0710605,0.137823333333333,0.14018,0.219,0.1982375,0.223192,0.238399,0.15232,0.2360575,0.25441,0.26184,0.25864,0.057855,0.12643
EF602154,0.10987,0.20578,0.1265225,0.080845,0.033289,0,0.29565,0.0533955,0.0343375,0.007137,0.051025,-0.0079021,0.014493,0.10571,0.0590999,0.17817,0.037655,0.125015,0.066281,0.1099945,0.115547,0.031689,0.044152,0.067375,0.00084115,0.302626965686275,0.12175,0.10302,0.20106,0.05615335,0.0585005,0.091918,0.086899,0.0566124285714286,0.02907,0.0548615,0.18296,0.0632273333333333,0.049187,0.34246,0.1443378,0.24605,0.07527,0.067979,0.34756,0.22254,0.32953,0.30751,0.169081666666667,0.10219,0.13608,0.39254,0.17364,0.0356396666666667,0.031423,0.11974,0.02537,0.330635,0.128659333333333,0.077889,0.046977,0.13407,0.07718888,0.0858991,0.11575,0.098105,0.11507,0.027244,0.023872,0.095901,0.00013229
KF301602,0.14817,0.17982,0.2247225,0.097857,0.14516,0.15338,0.122215,0.21433,0.05020725,0.1819,0.1639265,0.050867,0.20885,0.18858,0.13905,0.14348,0.22889,0.2136,0.15846,0.186315,0.13868,0.068182,0.15148,0.10305,0.097446,0.152621647058823,0.1392,0.11263,0.22902,0.22534,0.27708,0.22779,0.244195,0.309447142857143,0.15537,0.379115,0.15013,0.334286666666667,0.012701,0.238372,0.178328,0.089192,0.20743,0.15762,0.19381,0.23744,0.21296,0.095734,0.172968333333333,0.35366,0.1762,0.20457,0.16894,0.17525,0.21344,0.21446,0.038946,0.1422075,0.18393,0.17265,0.13074,0.220275,0.33472,0.3860975,0.15859,0.404085,0.15056,0.26661,0.25489,0.11622,0.082521
